Number,StateNum,Name,Area,Type,PFG Type,Period,Initial Period,Terminal Period,Northing,Easting,Zone,Num_Mounds,Max Mound Height (ft),Max Mound Area (sq ft),St Francis,Ditch,Platform
11-O-7,,Lewis Place,St. Francis,Small Ceremonial Center,Small Ceremonial Center,D-C,D,C,3911480.0,730800.0,15.0,2,7.0,0.0,0,0.0,0
11-O-8,3CT22,Richard's Bridge,St. Francis,St. Francis,St. Francis,C-B,C,B,3913622.0,732356.0,15.0,1,3.0,0.0,1,0.0,0
11-O-9,,Gilliland,St. Francis,Small Village Site with Mound(s),Conical Mound,D-C,D,C,3916540.0,736740.0,15.0,2,4.0,1256.6370614359173,0,0.0,0
11-P-1,,Shawnee Village,Memphis,Small Ceremonial Center,Small Ceremonial Center,C-B,C,B,3931860.0,761300.0,15.0,2,8.0,0.0,0,0.0,0
11-P-2,,Bradley,Memphis,Small Ceremonial Center,Small Ceremonial Center,C-B,C,B,3910900.0,758280.0,15.0,1+,10.0,0.0,0,0.0,1
11-P-3,,Golightly Place,Memphis,Small Village Site with Mound(s),,C-A,C,A,3915750.0,752551.0,15.0,1,0.0,0.0,0,0.0,1
11-P-4,,Pacific,Memphis,Mounds - Unknown,,?,?,?,3919090.0,753177.0,15.0,1+,0.0,0.0,0,0.0,0
11-P-5,,Lambethville Cemetery,Memphis,Mounds - Unknown,,?,?,?,3914790.0,757105.0,15.0,1+,0.0,0.0,0,0.0,0
12-N-10,,DeRossetts Place,St. Francis,Small Village Site with Mound(s),Conical Mound,F-E,F,E,3883280.0,711650.0,15.0,1,15.0,7853.981633974483,0,0.0,0
12-N-11,,Johnson,St. Francis,Conical Mound(s),Conical Mound,D-B,D,B,3882311.0,711888.0,15.0,1,0.0,0.0,0,0.0,0
12-N-12,,Widener Cemetery,St. Francis,Small Village Site with Mound(s),,D-B,D,B,3877380.0,711858.0,15.0,1,0.0,0.0,0,0.0,0
12-N-13,,Parks,St. Francis,Small Village Site with Mound(s),,F-C,F,C,3887390.0,722345.0,15.0,1+,0.0,0.0,0,0.0,0
12-N-14,,Crow Creek,St. Francis,Small Village Site with Mound(s),,E-D,E,D,3875990.0,706769.0,15.0,1+,0.0,0.0,0,0.0,0
12-N-15,,Swan Place,St. Francis,Conical Mound(s),Conical Mound,F-E,F,E,3891230.0,712120.0,15.0,1,5.0,1256.6370614359173,0,0.0,0
12-N-16,,Dent,St. Francis,Small Village Site with Mound(s),,C-B,C,B,3886430.0,726598.0,15.0,2+,0.0,0.0,0,0.0,0
12-N-2,,Manly,St. Francis,St. Francis,St. Francis,B-A,B,A,3880450.0,708240.0,15.0,0,0.0,0.0,0,0.0,0
12-N-3,3CS27,Rose Mound,St. Francis,St. Francis,St. Francis,B-A,B,A,3901650.0,717460.0,15.0,0,0.0,0.0,1,0.0,0
12-N-4,3SF9,Big Eddy,St. Francis,St. Francis,St. Francis,B-A,B,A,3888750.0,710000.0,15.0,4,0.0,0.0,1,0.0,0
12-N-5,,Welshans Place,St. Francis,Small Ceremonial Center,Small Ceremonial Center,C-B,C,B,3900660.0,712820.0,15.0,3,5.0,0.0,0,0.0,1
12-N-6,,Westmorland,St. Francis,Conical Mound(s),Conical Mound,D-C,D,C,3898930.0,714520.0,15.0,7,4.0,5026.548245743669,0,0.0,0
12-N-7,,Lansing,St. Francis,Conical Mound(s),Conical Mound,D-C,D,C,3894330.0,720150.0,15.0,Many,4.0,706.8583470577034,0,0.0,0
12-N-8,,Beckles,St. Francis,Mounds - Unknown,,?,?,?,3895560.0,721339.0,15.0,1,0.0,0.0,0,0.0,0
12-N-9,,Burns,St. Francis,Conical Mound(s),Conical Mound,F-E,F,E,3851260.0,717650.0,15.0,1,0.0,0.0,0,0.0,0
12-O-1,,Turner Place,Memphis,Mounds - Unknown,,C-B,C,B,3887020.0,745304.0,15.0,1+,0.0,0.0,0,0.0,0
12-O-2,,Pouncey,Memphis,Small Ceremonial Center,Small Ceremonial Center,C-B,C,B,3878800.0,741000.0,15.0,3,15.0,0.0,0,0.0,1
12-O-3,,Thompson Lake,Memphis,Small Ceremonial Center,Small Ceremonial Center,E-D,E,D,3877520.0,735360.0,15.0,2,0.0,0.0,0,0.0,1
12-O-4,,Davis Place,Memphis,Small Village Site with Mound(s),,E-D,E,D,3878950.0,733867.0,15.0,1+,0.0,0.0,0,0.0,0
12-O-5,,Cramor Place,Memphis,St. Francis,St. Francis,C-B,C,B,3876440.0,729450.0,15.0,5,4.0,0.0,1,0.0,0
12-O-6,,Brackenseed Place,Memphis,Small Ceremonial Center,Small Ceremonial Center,B-A,B,A,3881800.0,749500.0,15.0,2,10.0,0.0,1,0.0,1
12-P-1,,Mound Place,Memphis,Small Ceremonial Center,Small Ceremonial Center,B-A,B,A,3885300.0,751720.0,15.0,2,10.0,0.0,0,0.0,1
12-P-2,,Shelby/Chuckalissa,Memphis,Small Village Site with Mound(s),Irregular,B-A,B,A,3883840.0,761568.0,15.0,2,10.0,0.0,0,0.0,1
12-P-3,,Mound City,Memphis,Small Village Site with Mound(s),,B-A,B,A,3898106.0,761665.0,15.0,1+,0.0,0.0,0,0.0,0
13-M-1,,Hughes,Memphis,Large Village Site with Mound(s),Conical Mound,D-C,D,C,3861600.0,702850.0,15.0,2,10.0,18000.0,0,0.0,0
13-N-10,,Taylor Mound,Memphis ,Small Village Site with Mound(s),,B-A,B,A,3854800.0,728018.0,15.0,1,0.0,0.0,0,0.0,0
13-N-11,3LE15,Grant Place,Memphis ,Small Village Site,,D-B,D,B,3848280.0,718452.0,15.0,1,0.0,0.0,0,0.0,0
13-N-12,3LE16,Murdock Place,Memphis ,Small Ceremonial Center,Small Ceremonial Center,D-C,D,C,3854080.0,725340.0,15.0,2+,9.0,0.0,0,0.0,0
13-N-13,,Rawlinson,Memphis ,Small Village Site with Mound(s),Conical Mound,D-C,D,C,3867210.0,721550.0,15.0,2,6.0,2827.4333882308138,0,0.0,0
13-N-14,3LE18,Conner Place,Memphis ,Small Village Site,,D-C,D,C,3859712.0,711584.0,15.0,0,0.0,0.0,0,0.0,0
13-N-15,,Nickel,Memphis,Small Ceremonial Center,Small Ceremonial Center,C-B,C,B,3871500.0,724350.0,15.0,2,12.0,0.0,0,0.0,0
13-N-16,3LE17,Starkley,Memphis ,Small Village Site with Mound(s),Conical Mound,C-A,C,A,3848880.0,723216.0,15.0,1,12.0,0.0,1,0.0,0
13-N-17,3LE24,Greer,Memphis ,Small Ceremonial Center,Small Ceremonial Center,D-C,D,C,3848624.0,713036.0,15.0,1,14.0,0.0,0,0.0,1
13-N-18,,Lakeside,Memphis ,Small Village Site with Mound(s),Conical Mound,C-B,C,B,3872280.0,718090.0,15.0,3,11.0,9503.317777109125,0,0.0,0
13-N-19,,Riverside,Memphis ,Mounds - Unknown,,D-C,D,C,3870420.0,711815.0,15.0,1,0.0,0.0,0,0.0,0
13-N-2,,Alligator Bayou,Memphis ,Small Village Site with Mound(s),,D-C,D,C,3854570.0,720657.0,15.0,1,0.0,0.0,0,0.0,0
13-N-20,,Hargrave,Memphis ,Mounds - Unknown,,?,?,?,3872111.0,713834.0,15.0,1,0.0,0.0,0,0.0,0
13-N-21,,Castile Landing,Memphis ,St. Francis,St. Francis,B-A,B,A,3872820.0,712000.0,15.0,1,9.0,0.0,1,0.0,0
13-N-3,3LE7,Mound Cemetery,Memphis ,Small Village Site with Mound(s),,B-A,B,A,3859730.0,722513.0,15.0,2,23.0,0.0,0,0.0,1
13-N-4,3LE8,Kent,Memphis ,Small Ceremonial Center,Small Ceremonial Center,E + B-A,B,A,3854800.0,725840.0,15.0,2,16.0,0.0,1,0.0,1
13-N-5,3LE9,Davis,Memphis ,Small Village Site with Mound(s),,C-B,C,B,3858990.0,725132.0,15.0,1,0.0,0.0,0,0.0,0
13-N-6,3LE10,Jerusalem Church,Memphis ,Small Village Site with Mound(s),,B-A,B,A,3855190.0,723393.0,15.0,1,3.0,0.0,0,0.0,0
13-N-7,3LE11,Clay Hill,Memphis ,St. Francis,St. Francis,B-A,B,A,3861780.0,708000.0,15.0,2,0.0,0.0,1,0.0,0
13-N-8,,Findley,Memphis ,Small Village Site,,D-C,D,C,3856560.0,726001.0,15.0,0,0.0,0.0,0,0.0,0
13-N-9,3LE13,Red Oak,Memphis ,Small Village Site,,C-B,C,B,3850040.0,718056.0,15.0,0,0.0,0.0,0,0.0,0
13-O-1,3LE3,Barrett,Memphis ,Small Ceremonial Center,Small Ceremonial Center,D-C,D,C,3864600.0,732400.0,15.0,2,9.0,0.0,0,0.0,0
13-O-10,,Hollywood,Memphis ,Large Ceremonial Center,Large Ceremonial Center,B-A,B,A,3851300.0,740620.0,15.0,15,20.0,0.0,0,0.0,1
