Number,Mound,Ditch,St Francis,Platform,Num_Mounds,Max Mound Area (sq ft),Max Mound Height (ft),PFG Type,Easting,Northing,Name
11-O-8,1.0,0.0,1,0.0,1,0.0,3.0,St. Francis,732356.0,3913622.0,Richard's Bridge
11-O-9,1.0,0.0,0,0.0,2,1256.6370614359173,4.0,Conical Mound,736740.0,3916540.0,Gilliland
11-P-1,1.0,0.0,0,0.0,2,0.0,8.0,Small Ceremonial Center,761300.0,3931860.0,Shawnee Village
11-P-2,1.0,0.0,0,1.0,1+,0.0,10.0,Small Ceremonial Center,758280.0,3910900.0,Bradley
11-P-3,1.0,0.0,0,1.0,1,0.0,0.0,,752551.0,3915750.0,Golightly Place
11-P-4,1.0,0.0,0,0.0,1+,0.0,0.0,,753177.0,3919090.0,Pacific
11-P-5,1.0,0.0,0,0.0,1+,0.0,0.0,,757105.0,3914790.0,Lambethville Cemetery
12-N-10,1.0,0.0,0,0.0,1,7853.981633974483,15.0,Conical Mound,711650.0,3883280.0,DeRossetts Place
12-N-11,1.0,0.0,0,0.0,1,0.0,0.0,Conical Mound,711888.0,3882311.0,Johnson
12-N-12,1.0,0.0,0,0.0,1,0.0,0.0,,711858.0,3877380.0,Widener Cemetery
12-N-13,1.0,0.0,0,0.0,1+,0.0,0.0,,722345.0,3887390.0,Parks
12-N-14,1.0,0.0,0,0.0,1+,0.0,0.0,,706769.0,3875990.0,Crow Creek
12-N-15,0.0,0.0,0,0.0,1,1256.6370614359173,5.0,Conical Mound,712120.0,3891230.0,Swan Place
12-N-16,1.0,0.0,0,0.0,2+,0.0,0.0,,726598.0,3886430.0,Dent
12-N-2,0.0,0.0,0,0.0,0,0.0,0.0,St. Francis,708240.0,3880450.0,Manly
12-N-3,0.0,0.0,1,0.0,0,0.0,0.0,St. Francis,717460.0,3901650.0,Rose Mound
12-N-4,1.0,0.0,1,0.0,4,0.0,0.0,St. Francis,710000.0,3888750.0,Big Eddy
12-N-5,1.0,0.0,0,1.0,3,0.0,5.0,Small Ceremonial Center,712820.0,3900660.0,Welshans Place
12-N-6,1.0,0.0,0,0.0,7,5026.548245743669,4.0,Conical Mound,714520.0,3898930.0,Westmorland
12-N-7,1.0,0.0,0,0.0,Many,706.8583470577034,4.0,Conical Mound,720150.0,3894330.0,Lansing
12-N-8,1.0,0.0,0,0.0,1,0.0,0.0,,721339.0,3895560.0,Beckles
12-N-9,1.0,0.0,0,0.0,1,0.0,0.0,Conical Mound,717650.0,3851260.0,Burns
12-O-1,1.0,0.0,0,0.0,1+,0.0,0.0,,745304.0,3887020.0,Turner Place
12-O-2,1.0,0.0,0,1.0,3,0.0,15.0,Small Ceremonial Center,741000.0,3878800.0,Pouncey
12-O-3,1.0,0.0,0,1.0,2,0.0,0.0,Small Ceremonial Center,735360.0,3877520.0,Thompson Lake
12-O-4,1.0,0.0,0,0.0,1+,0.0,0.0,,733867.0,3878950.0,Davis Place
12-O-5,0.0,0.0,1,0.0,5,0.0,4.0,St. Francis,729450.0,3876440.0,Cramor Place
12-O-6,1.0,0.0,1,1.0,2,0.0,10.0,Small Ceremonial Center,749500.0,3881800.0,Brackenseed Place
12-P-1,1.0,0.0,0,1.0,2,0.0,10.0,Small Ceremonial Center,751720.0,3885300.0,Mound Place
12-P-2,1.0,0.0,0,1.0,2,0.0,10.0,Irregular,761568.0,3883840.0,Shelby/Chuckalissa
12-P-3,1.0,0.0,0,0.0,1+,0.0,0.0,,761665.0,3898106.0,Mound City
13-M-1,1.0,0.0,0,0.0,2,18000.0,10.0,Conical Mound,702850.0,3861600.0,Hughes
13-N-10,1.0,0.0,0,0.0,1,0.0,0.0,,728018.0,3854800.0,Taylor Mound
13-N-11,1.0,0.0,0,0.0,1,0.0,0.0,,718452.0,3848280.0,Grant Place
13-N-12,1.0,0.0,0,0.0,2+,0.0,9.0,Small Ceremonial Center,725340.0,3854080.0,Murdock Place
13-N-13,1.0,0.0,0,0.0,2,2827.4333882308138,6.0,Conical Mound,721550.0,3867210.0,Rawlinson
13-N-14,0.0,0.0,0,0.0,0,0.0,0.0,,711584.0,3859712.0,Conner Place
13-N-15,1.0,0.0,0,0.0,2,0.0,12.0,Small Ceremonial Center,724350.0,3871500.0,Nickel
13-N-16,1.0,0.0,1,0.0,1,0.0,12.0,Conical Mound,723216.0,3848880.0,Starkley
13-N-17,1.0,0.0,0,1.0,1,0.0,14.0,Small Ceremonial Center,713036.0,3848624.0,Greer
13-N-18,1.0,0.0,0,0.0,3,9503.317777109125,11.0,Conical Mound,718090.0,3872280.0,Lakeside
13-N-19,1.0,0.0,0,0.0,1,0.0,0.0,,711815.0,3870420.0,Riverside
13-N-2,1.0,0.0,0,0.0,1,0.0,0.0,,720657.0,3854570.0,Alligator Bayou
13-N-20,1.0,0.0,0,0.0,1,0.0,0.0,,713834.0,3872111.0,Hargrave
13-N-21,0.0,0.0,1,0.0,1,0.0,9.0,St. Francis,712000.0,3872820.0,Castile Landing
13-N-3,1.0,0.0,0,1.0,2,0.0,23.0,,722513.0,3859730.0,Mound Cemetery
13-N-4,1.0,0.0,1,1.0,2,0.0,16.0,Small Ceremonial Center,725840.0,3854800.0,Kent
13-N-5,1.0,0.0,0,0.0,1,0.0,0.0,,725132.0,3858990.0,Davis
