Site Name,Site Number,Neeley's Ferry Plain,Parkin Punctated,Barton Incised,Ranch Incised,Vernon Paul Applique,Fortune Noded,Manly Punctated,Tyronza Punctated,Bell Plain,Kent Incised,Rhodes Incised,Walls Engraved,Hull Engraved,Mound Place Incised (T),Old Town Red,Carson Red-on-Buff,Nodena Red and White,Avenue Polychrome,Hollywood White Slipped,Wallace Incised,Stokes Bayou Incised,Oliver Incised,Owens Punctated (T),Leland Incised,Blanchard Incised (T),Arcola Incised (T),Sherd Total
Stovall,16-L-3,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
Brandenburg,16-L-4-5,119,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120
Dupree,16-L-6,708,3,6,0,0,0,0,0,0,1,2,0,0,0,43,0,2,0,0,53,0,1,0,0,0,0,819
Avenue,16-M-1,411,3,5,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,1,1,0,0,427
Tomanelli,16-M-2,435,6,13,0,0,0,0,0,5,0,1,0,0,0,3,0,2,0,0,1,13,1,1,0,1,0,482
Yates Bayou,16-M-3,188,1,15,0,0,0,0,0,2,0,0,0,0,0,7,1,1,0,1,0,0,0,0,0,0,0,216
Mt. Olive,16-M-5,370,5,12,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,392
Stokes Bayou,16-M-6,2519,5,135,0,0,0,0,1,28,2,9,1,0,3,22,3,14,0,5,0,11,1,1,4,0,0,2764
Acree,16-N-1,33,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,45
Myer,16-N-10,911,24,92,1,0,1,0,0,136,0,6,1,4,0,38,5,7,2,3,0,8,0,2,4,0,0,1245
Hopson Bayou,16-N-11,7,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Black Bayou,16-N-12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Howden Lake,16-N-17,63,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68
Bobo,16-N-18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Crawford Lake,16-N-19,118,3,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,125
Alligator,16-N-2,1086,11,30,0,0,0,0,0,6,0,0,0,0,0,33,0,0,0,1,2,3,0,1,2,0,0,1175
Alligator Mounds,16-N-2/B-I,537,6,8,0,0,0,0,0,30,0,0,0,0,0,22,0,0,5,0,0,0,0,0,0,0,0,608
Aderholt,16-N-20,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Hopkins,16-N-23,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Doadey,16-N-25,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Butler,16-N-3/A,29,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
Davis,16-N-4,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8
Oliver,16-N-6,467,9,35,0,1,0,0,0,11,1,2,0,0,0,16,0,0,8,0,1,0,0,0,1,0,0,552
Oliver,16-N-6,467,9,35,0,1,0,0,0,11,1,2,0,0,0,16,3,4,0,1,1,1,0,0,0,1,0,553
Bramlett,16-N-7,74,1,9,0,0,0,0,0,7,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,96
Mattson,16-N-9,77,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107
Dunn,16-O-1,24,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
Denton,16-O-13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Stover,16-O-14,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Garner,16-O-15,48,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,53
Flower,16-O-16,21,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
Longstreet,16-O-17,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Spendthrift,16-O-2,784,2,42,0,0,0,0,0,62,0,0,0,0,0,3,1,5,0,0,0,2,0,0,0,0,0,901
Everett,16-O-3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,21
Garmon,16-O-6,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Charleston,16-P-1,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,168
Shady Grove,16-P-2,174,3,20,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,201
Twin Lakes,16-P-3,135,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162
Twin Lakes & White,16-P-3-4,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
White,16-P-4,178,5,20,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,208
Crosslyn,16-P-5,82,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
Cox,16-P-6,84,1,7,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,97
Mitchell,16-P-7,245,5,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273
Blue Lake,16-P-8,146,3,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,156
Menard,17-K-1,922,1,6,0,0,0,0,1,19,0,0,1,0,0,30,0,1,1,1,53,1,0,0,6,0,0,1043
Thiele Hill,17-K-2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7
Wallace,17-K3,1331,12,13,0,0,0,0,0,0,0,2,0,0,0,54,0,5,0,0,85,0,4,0,1,0,0,1507
Almond Farm,17-K-4,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94
Cooks ,17-K-5,12,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
Bond,17-K-6/A,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Alma Brown,17-K-7/E/A,14,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,19
Alma Brown,17-K-7/E/B,407,60,8,0,0,1,0,0,8,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,488
