seed,nc_co,nc_tt,fst_co,fst_tt
282,3.0,2.0,0.017017090777953804,0.006819614822840714
283,3.0,3.0,0.022936018124106936,0.007730846667597688
284,3.0,3.0,0.02209435114682889,0.00972924293574085
285,4.0,2.0,0.03748868579685462,0.005031622381334502
286,3.0,2.0,0.014520074311571186,0.005830082651392006
287,2.0,2.0,0.007015583704468945,0.004519404529981833
288,3.0,2.0,0.02729339442227478,0.0038647046009392043
289,4.0,2.0,0.02382189550709588,0.005122825148075205
290,3.0,2.0,0.025249447700542507,0.0042873266799759065
291,3.0,2.0,0.023521426029902672,0.005995757857692483
292,3.0,2.0,0.022422481728107055,0.0068337755080268075
293,4.0,2.0,0.03279068115310195,0.00611128510293355
294,2.0,2.0,0.01373768181607466,0.005525405559700335
295,4.0,2.0,0.02469735543891726,0.005563105551167925
296,4.0,2.0,0.029019875613546093,0.00710312088774208
297,3.0,2.0,0.027551742075424015,0.0058396458732899266
298,2.0,2.0,0.009398677381621506,0.00604866635640224
299,4.0,3.0,0.025605008785040118,0.007961804554226765
300,3.0,2.0,0.02101942118738824,0.005146262069094109
301,4.0,3.0,0.03104622714437967,0.009959833353280245
302,4.0,2.0,0.03367177221365028,0.0033230385264366694
303,3.0,2.0,0.019544687341785147,0.009944565824176146
304,3.0,2.0,0.01884953370046316,0.005160824800417179
305,3.0,2.0,0.019603912213636998,0.004776719414878084
306,4.0,2.0,0.03177495779165867,0.005571852944664993
307,3.0,2.0,0.023545389160875195,0.009139516741990804
308,4.0,2.0,0.028434426850786513,0.005221371646280777
309,3.0,2.0,0.03163609764256458,0.006294242818414048
310,3.0,2.0,0.027322422711880012,0.008839548677963983
311,3.0,2.0,0.01343391115852271,0.007954251761377812
312,3.0,2.0,0.021438524642346083,0.00573014178233779
313,4.0,3.0,0.0221884713644243,0.011076109844662648
314,4.0,2.0,0.04586738878589077,0.004078827072879273
315,3.0,2.0,0.023834480664697556,0.006195454178509133
316,3.0,2.0,0.030046617231243286,0.005791528524509562
