seed,nc_co,nc_tt,fst_co,fst_tt
437,4.0,2.0,0.032554403796039834,0.005757544406430856
438,3.0,2.0,0.026570092890147192,0.004628120464719101
439,3.0,2.0,0.018912592629003265,0.0041976190584474635
440,3.0,3.0,0.019522411695658853,0.011463569934021266
441,3.0,2.0,0.022805953740747353,0.005330441382144452
442,3.0,2.0,0.01488925748904814,0.008022094868761803
443,3.0,2.0,0.0164646948686656,0.005611665495551478
444,4.0,2.0,0.033588483983099125,0.006702652807338526
445,3.0,2.0,0.02190236763553605,0.005239710864972425
446,4.0,2.0,0.022316263459396878,0.0065522877825674505
447,3.0,2.0,0.023301954314023914,0.0075589612878578195
448,3.0,2.0,0.021693068403933216,0.0049259890254632266
449,3.0,2.0,0.027743326611957806,0.007717334027124323
450,4.0,2.0,0.031163771649704488,0.006252402467480356
451,3.0,3.0,0.01973391517054768,0.010196399298163598
452,3.0,2.0,0.021094828240460155,0.007139526155323568
453,3.0,2.0,0.027204983893129538,0.0059224167417232364
454,3.0,2.0,0.017748413421930054,0.0049938039003311705
455,3.0,2.0,0.023592376237478268,0.0053959648438161156
456,4.0,2.0,0.023502711205897645,0.005778948733384003
457,3.0,2.0,0.014289404093244177,0.005774384115607572
458,3.0,2.0,0.0201109338055808,0.007247037846767492
459,3.0,3.0,0.02634025920752056,0.010686646943267975
460,4.0,2.0,0.03303475020593782,0.006340797281708847
461,3.0,2.0,0.029681642751482423,0.007207073704710358
462,3.0,2.0,0.021145054338968138,0.005989280752555142
463,5.0,2.0,0.03507919354423138,0.006652477911922626
464,3.0,2.0,0.021176989535128688,0.004726584228268022
465,4.0,3.0,0.03375274602268475,0.009110891767715236
466,3.0,3.0,0.02642334840028573,0.011366955075834666
467,4.0,2.0,0.018293338301497698,0.0045521252675065375
468,3.0,2.0,0.016561686814555786,0.005098621440520445
469,3.0,2.0,0.024156281775394254,0.005367653783339889
470,3.0,2.0,0.01871676131359825,0.0059961631836241615
471,3.0,2.0,0.01309348114141188,0.00688324219912529
472,3.0,2.0,0.02067107109160799,0.005219822416994388
473,3.0,2.0,0.015302883828015522,0.005234017138739994
474,4.0,2.0,0.025769474143853156,0.004498858705984819
475,3.0,2.0,0.02365388645038581,0.005022641434449586
476,4.0,2.0,0.02967788535897473,0.004845663869758095
477,4.0,2.0,0.03273280425180923,0.006971746760102805
478,4.0,2.0,0.026781157044691507,0.005061826380336689
479,3.0,2.0,0.016022613252922032,0.0058142250998409455
480,3.0,2.0,0.026067453171098157,0.005171045705702353
481,3.0,2.0,0.014268186786996017,0.004439556449708779
482,3.0,2.0,0.01961358726665426,0.0069347421771261625
483,2.0,2.0,0.011959089939343982,0.004989142530944394
484,4.0,3.0,0.019305174481334397,0.008468562569047803
485,3.0,2.0,0.022157158439990936,0.004434803518854303
486,3.0,2.0,0.03216449979791967,0.005625946672146006
487,4.0,2.0,0.01894862721752182,0.004687261348758048
488,3.0,2.0,0.018423496678348052,0.007016092940441084
