seed,nc,fst_tt,fst_co,rho
291,3.0,0.020134885364077527,0.03307297499267981,0.40777230432402845
292,2.0,0.00854376155957112,0.016820810718224406,0.30487137383689106
293,3.0,0.02615888252006477,0.035649966061278175,0.668856048166393
294,2.0,0.014511492827302165,0.021950627272650604,0.5883962780514504
295,3.0,0.023828635403388553,0.04076841810206614,0.32019704433497537
296,2.0,0.01278103777313259,0.012933066565987826,0.5894909688013136
297,2.0,0.017909728861746434,0.02995110697619933,0.348111658456486
298,2.0,0.013959949582778838,0.030350526854516422,0.6694033935413245
299,2.0,0.00932010456752901,0.03195500239300701,0.6880131362889983
300,3.0,0.01994017988640266,0.03464878709940203,0.6436781609195401
301,2.0,0.015557850980924543,0.022123585665725063,0.599343185550082
302,2.0,0.0127566740599354,0.020090189468217612,0.2884510125889437
303,3.0,0.017202192549890402,0.022744923941114294,0.45758073344280237
304,2.0,0.011924343521649764,0.02752294059203559,0.2129173508483853
305,2.0,0.008932393033976681,0.027027748266012726,0.7432950191570881
306,2.0,0.019243592206480323,0.0449754742579569,0.40996168582375475
307,2.0,0.011578574897076057,0.030843885009459837,0.42638204707170224
308,2.0,0.01247133205911934,0.033704219974318,0.30979748221127534
309,2.0,0.010300093922644069,0.03599362856084727,0.4094143404488232
310,2.0,0.017431786537278497,0.024353648245296827,0.6223316912972086
311,2.0,0.013485206444466881,0.03233408101114814,0.5402298850574713
312,2.0,0.016976415751744203,0.03928549074744268,0.5681444991789819
313,2.0,0.008177372051363804,0.014554476844945654,0.6272577996715927
314,2.0,0.021092196959695306,0.02576385362645738,0.6967706622879036
315,2.0,0.008403100802032342,0.043398520219399314,0.4926108374384236
316,2.0,0.011590558416616468,0.030483066845235836,0.3568691844553913
317,2.0,0.011123304612815195,0.027831953951041797,0.7066228790366721
318,2.0,0.008426625339746249,0.02636665712433762,0.7186644772851669
319,3.0,0.02476166963176737,0.03289839829423363,0.3968253968253968
320,3.0,0.021111843276477832,0.03592471305486112,0.48987411056376573
321,2.0,0.00871304657484746,0.023607586111488648,0.6179529282977558
322,2.0,0.013522804684416672,0.040557681449302045,0.4975369458128079
323,2.0,0.017629326802020766,0.026727384474775722,0.638752052545156
324,2.0,0.017728598616454552,0.030937844919275002,0.7257799671592775
325,3.0,0.024394296730532335,0.02660486053409048,0.3820470717022441
326,2.0,0.013029213568147142,0.013636256937618527,0.6119321291735085
327,2.0,0.015442628302602571,0.038537336081522024,0.6327312534209085
328,2.0,0.007787684392483715,0.019777389409440266,0.615216201423098
329,2.0,0.011660797424321818,0.028793953406708754,0.5588396278051451
330,3.0,0.019324208413853298,0.06603279200687379,0.44937055281882865
331,2.0,0.01586893411595585,0.03282368393977953,0.3530377668308703
332,3.0,0.024812175942703088,0.027293929721109146,0.44991789819376027
333,2.0,0.010888296248279734,0.020065780478636552,0.30268199233716475
334,2.0,0.013933339197184268,0.022481437896000205,0.6502463054187192
335,2.0,0.013467493410658796,0.0625957917599614,0.3634373289545703
336,2.0,0.007410523864037958,0.03568838281981804,0.378215654077723
337,2.0,0.011006596724239927,0.026931087948991055,0.6239737274220033
338,2.0,0.01606243761965258,0.031775686169254386,0.7246852764094143
339,2.0,0.010385733138261945,0.027469619737161634,0.6349206349206349
340,2.0,0.011446955672952083,0.0335126400268442,0.6091954022988505
341,2.0,0.016262406402720045,0.02989505128909457,0.4532019704433497
342,2.0,0.01608896389848284,0.029659493886557618,0.3973727422003284
343,2.0,0.019672086709791207,0.017769184306347895,0.5938697318007663
344,2.0,0.01384433900226856,0.022488283876577028,0.3240284619594964
345,2.0,0.014338171512699796,0.021884989844228465,0.5134099616858239
346,3.0,0.01636434252805369,0.02977249779770158,0.5062944718117133
347,2.0,0.019154504667868652,0.035668869952082315,0.5528188286808976
348,2.0,0.012124863501247488,0.039273285614873275,0.6666666666666666
349,3.0,0.017633298262882548,0.036099507499459775,0.8418171866447729
350,2.0,0.012180578190891467,0.018195254313931417,0.578544061302682
351,2.0,0.01782368169845325,0.03012535477434716,0.69896004378763
352,2.0,0.01123582623636905,0.03330419540386881,0.16748768472906403
353,3.0,0.02231450006065123,0.03752644041847434,0.6097427476737821
354,2.0,0.01707461339327708,0.026983830556993736,0.5829228243021346
355,2.0,0.013641733164369415,0.024178819362977347,0.42036124794745483
356,2.0,0.016693214923583496,0.0336963964299483,0.3273125342090859
357,2.0,0.009800150505515174,0.01801009825204569,0.7936507936507936
358,3.0,0.02086943745849682,0.025666022326083407,0.42145593869731796
359,2.0,0.011403693745775599,0.036193635243506134,0.3371647509578544
360,3.0,0.01864131941933821,0.025375936750938625,0.7000547345374931
361,2.0,0.013865804212896515,0.03286646043424505,0.5298303229337711
362,2.0,0.018052601527579055,0.04137394022909168,0.3240284619594964
363,2.0,0.013339650160018604,0.03252621283449547,0.5259989053092501
364,2.0,0.014799596843802524,0.03612567750252984,0.5331143951833607
365,2.0,0.01671752667105131,0.020186241625595888,0.6765188834154352
366,2.0,0.010287851745938827,0.04020885249868991,0.6502463054187192
367,2.0,0.013709552970694625,0.027510502104742734,0.49425287356321834
368,2.0,0.019708560283553705,0.03217410619004026,0.4165298303229338
369,2.0,0.015563053108081145,0.01887234175819347,0.6874657909140668
370,2.0,0.01356745967575492,0.02126837863133762,0.4017515051997811
371,2.0,0.019119786837718138,0.021140357484145018,0.38697318007662834
372,3.0,0.02535079788419873,0.016817285819016488,0.7427476737821566
373,2.0,0.012961649155377786,0.02757812167785668,0.3864258347016967
374,2.0,0.011440929757537396,0.022912716207048177,0.45539135194307606
375,3.0,0.014601703639698536,0.0274216059485443,0.5155993431855501
376,2.0,0.014615404994228613,0.022516370777448638,0.7777777777777778
377,2.0,0.01120708737565636,0.02418465545578923,0.5632183908045977
378,2.0,0.011218622591689131,0.01702426018704535,0.39901477832512317
379,2.0,0.00986606743484744,0.04391324047252857,0.6496989600437876
380,2.0,0.014992109365707822,0.038084722819712015,0.752599890530925
381,2.0,0.012376459986745641,0.03133939099558027,0.3147235905856595
382,3.0,0.020424511211483545,0.027767563020200225,0.5686918445539135
