len_km,mix,mu,seed,ncom,fst,rho
18.0000,0.0500,0.0060,0,2,0.013451,0.889984
18.0000,0.0500,0.0060,1,2,0.023266,0.625616
18.0000,0.0500,0.0060,2,2,0.019429,0.941981
18.0000,0.0500,0.0060,3,2,0.022499,0.698960
18.0000,0.0500,0.0060,4,3,0.027110,0.612479
18.0000,0.0500,0.0060,5,3,0.039002,0.868090
18.0000,0.0500,0.0060,6,3,0.032105,0.866995
18.0000,0.0500,0.0060,7,2,0.021916,0.722496
18.0000,0.0500,0.0060,8,3,0.040691,0.754789
18.0000,0.0500,0.0060,9,2,0.020256,0.496990
18.0000,0.0500,0.0060,10,2,0.020719,0.426382
18.0000,0.0500,0.0060,11,2,0.023031,0.845649
18.0000,0.0500,0.0120,0,2,0.010557,0.760263
18.0000,0.0500,0.0120,1,2,0.011810,0.299398
18.0000,0.0500,0.0120,2,2,0.014804,0.507937
18.0000,0.0500,0.0120,3,2,0.010255,0.701149
18.0000,0.0500,0.0120,4,2,0.013300,0.736180
18.0000,0.0500,0.0120,5,2,0.011101,0.522715
18.0000,0.0500,0.0120,6,2,0.011074,0.667214
18.0000,0.0500,0.0120,7,2,0.014309,0.421456
18.0000,0.0500,0.0120,8,2,0.011894,0.817187
18.0000,0.0500,0.0120,9,2,0.008863,0.559934
18.0000,0.0500,0.0120,10,2,0.012038,0.791461
18.0000,0.0500,0.0120,11,2,0.014150,0.731253
18.0000,0.0500,0.0240,0,2,0.006080,0.601533
18.0000,0.0500,0.0240,1,2,0.010635,0.246305
18.0000,0.0500,0.0240,2,2,0.007460,0.400657
18.0000,0.0500,0.0240,3,2,0.007419,0.686918
18.0000,0.0500,0.0240,4,2,0.006284,0.394089
18.0000,0.0500,0.0240,5,2,0.007304,0.133005
18.0000,0.0500,0.0240,6,2,0.009406,0.736727
18.0000,0.0500,0.0240,7,2,0.004995,0.231527
18.0000,0.0500,0.0240,8,2,0.007913,0.316913
18.0000,0.0500,0.0240,9,2,0.008918,0.623426
18.0000,0.0500,0.0240,10,2,0.004881,0.457581
18.0000,0.0500,0.0240,11,2,0.011674,0.417077
24.0000,0.0100,0.0060,0,3,0.050023,0.825944
24.0000,0.0100,0.0060,1,2,0.024294,0.349206
24.0000,0.0100,0.0060,2,2,0.026741,0.505747
24.0000,0.0100,0.0060,3,2,0.028210,0.778872
24.0000,0.0100,0.0060,4,3,0.034565,0.570334
24.0000,0.0100,0.0060,5,2,0.026008,0.426929
24.0000,0.0100,0.0060,6,2,0.023613,0.395731
24.0000,0.0100,0.0060,7,2,0.025278,0.635468
24.0000,0.0100,0.0060,8,4,0.069091,0.642583
24.0000,0.0100,0.0060,9,2,0.028541,0.568144
24.0000,0.0100,0.0060,10,3,0.036554,0.587849
24.0000,0.0100,0.0060,11,3,0.041403,0.905309
24.0000,0.0100,0.0120,0,3,0.022203,0.411056
24.0000,0.0100,0.0120,1,2,0.012737,0.301587
24.0000,0.0100,0.0120,2,3,0.022903,0.540230
24.0000,0.0100,0.0120,3,3,0.023802,0.651341
24.0000,0.0100,0.0120,4,2,0.013740,0.622332
24.0000,0.0100,0.0120,5,2,0.014328,0.479475
24.0000,0.0100,0.0120,6,2,0.012904,0.827039
24.0000,0.0100,0.0120,7,2,0.012828,0.688560
24.0000,0.0100,0.0120,8,3,0.014010,0.638752
24.0000,0.0100,0.0120,9,2,0.017948,0.685276
24.0000,0.0100,0.0120,10,3,0.029540,0.553914
24.0000,0.0100,0.0120,11,3,0.027647,0.633826
24.0000,0.0100,0.0240,0,2,0.004722,0.320197
24.0000,0.0100,0.0240,1,2,0.009712,0.139026
24.0000,0.0100,0.0240,2,2,0.009152,0.350848
24.0000,0.0100,0.0240,3,2,0.006509,0.697865
24.0000,0.0100,0.0240,4,2,0.005753,0.501916
24.0000,0.0100,0.0240,5,2,0.012919,0.270389
24.0000,0.0100,0.0240,6,2,0.009450,0.412698
24.0000,0.0100,0.0240,7,2,0.004643,0.261631
24.0000,0.0100,0.0240,8,2,0.009522,0.483853
24.0000,0.0100,0.0240,9,2,0.007308,0.364532
