leak,strength,rep,phase_fst,spatial_fst,be_phase,hs,rich,ht
1.0,0.0,89,0.005458328502269764,0.0032358204664187607,-3.291222962827689,0.5939719942546396,6.035714285714286,0.6007057265620704
1.0,0.0,90,0.006848159279227815,0.0032889569622591903,6.620761314924465,0.5994101756841158,6.071428571428571,0.6075328150851658
1.0,0.0,91,0.0017288167204928579,0.0007597704416651858,0.6380243413679523,0.551738394714332,5.892857142857143,0.5799442733843684
1.0,0.0,92,0.009861445766366092,0.008985127874475701,-1.611272592221951,0.5730280090250269,5.964285714285714,0.5864929244657571
1.0,0.0,93,0.00923486043261733,0.006396907260210288,-1.8424097717711092,0.5480273598933623,5.678571428571429,0.5775981246179149
1.0,0.0,94,0.0053649948120074314,0.0009471970630686611,5.912950884093092,0.5823620786835947,5.535714285714286,0.5903412895995775
1.0,0.0,95,0.006638109526461982,0.003984883276801647,-0.22752055085866374,0.5320860784686415,5.785714285714286,0.563817372296584
1.0,0.0,96,0.004572607042437502,0.0015459707208681504,1.0973313067952404,0.5728535513667146,5.678571428571429,0.5918017232513586
1.0,0.0,97,0.03362099194572527,0.03050377981938169,0.63334612302409,0.5777180020609028,5.857142857142857,0.6241069642347047
1.0,0.0,98,0.0035108914653212884,0.0014200906448162901,8.529446343543079,0.5491968202337397,6.035714285714286,0.58556730756179
1.0,0.0,99,0.005223342790379307,0.0031927622606445515,-1.1279976862854681,0.552584270662402,5.714285714285714,0.569989365373508
1.0,0.0,100,0.005509794416670846,0.004413680915475187,0.6693106483659435,0.5799935900028599,5.857142857142857,0.582573184717156
1.0,0.0,101,0.015610110226819868,0.001763117981776918,-2.4516856959712214,0.5483300062492356,5.321428571428571,0.5732074089726853
1.0,0.0,102,0.013913721510038841,0.013268734597852811,-2.3425896489338314,0.5538141762867815,5.607142857142857,0.5658207599655359
1.0,0.0,103,0.007319093890752768,0.006443710097655633,-0.02215162389180847,0.5538943050269427,5.678571428571429,0.5497406205158737
1.0,0.0,104,0.0014850936770164633,0.0005317652545472652,0.5136708632755287,0.597795157511774,5.892857142857143,0.6073446118133004
1.0,0.0,105,0.009902597330904574,0.0021396435362477095,-3.2436926456539226,0.5630278004611693,5.75,0.6076207760499703
1.0,0.0,106,0.0010664365454051649,0.0005238341345394621,0.6737056080835586,0.5587011694625413,5.964285714285714,0.5718594587365031
1.0,0.0,107,0.002539752538930918,0.0019648505841237136,-7.058748616660807,0.5943452272489046,5.75,0.6352010597802582
1.0,0.0,108,0.0044976508466742955,0.0008868611305818551,-1.9316948751834389,0.5730227375685869,5.357142857142857,0.5853832684796821
1.0,0.0,109,0.0033529136114119054,0.0029975349858677976,1.1926381113322577,0.5807627376499731,6.25,0.579633236573087
1.0,0.0,110,0.002586529864707288,0.001811235899485157,-1.9061526367842347,0.5802415741152966,6.392857142857143,0.5814396198444785
1.0,0.0,111,0.005816398850643372,0.005312097528146143,-0.19293372485241633,0.575686879615818,6.107142857142857,0.5934920322478676
1.0,0.0,112,0.0076741265933084665,0.0036666218278313995,0.008505949904026977,0.5560617419024739,5.5,0.5930042889494861
1.0,0.0,113,0.004250740580874733,0.003980705798570695,3.227508862788099,0.570748417022551,5.642857142857143,0.5772772406042841
1.0,0.0,114,0.0015449406520717307,0.0003801928817198116,-0.13561808684351462,0.5668851028099419,5.178571428571429,0.5933538897789565
1.0,0.0,115,0.006824037721713175,0.005656966927905128,-1.3997690689721622,0.5459660541054804,6.035714285714286,0.559716248891228
1.0,0.0,116,0.001525879044339228,0.0012835657425997729,-1.381032382997276,0.5654656581483006,5.607142857142857,0.5986375726664314
1.0,0.0,117,0.014375247512374732,0.011774381591255602,0.8738922269425586,0.5684725753670837,5.892857142857143,0.5989237148650325
1.0,0.0,118,0.013931858481669725,0.012087489185780337,-15.307350304989484,0.5372131818816576,5.785714285714286,0.5503660737707036
1.0,0.0,119,0.003992327464117932,0.0032961583974599105,0.7441360967484769,0.5874965527930399,5.964285714285714,0.6326908077387001
1.0,0.0,120,0.003217221171715748,0.0016732530466216475,5.401722925231816,0.5444530132068366,5.571428571428571,0.5417112076969556
1.0,0.0,121,0.007349697510326576,0.005631013036954891,0.2526951639553445,0.5926752757020814,5.857142857142857,0.6183898535674239
1.0,0.0,122,0.0020659784715984556,0.0015682016041059423,-2.70094847882698,0.5730826470065358,5.75,0.5941063809966778
1.0,0.0,123,0.005642280536982558,0.0005923394217207342,-3.990337621358833,0.546057555005933,5.75,0.5586801401406765
1.0,0.0,124,0.0017209476569359154,0.0006535758196167964,-8.113618978749813,0.5836862791661767,5.464285714285714,0.5997275241893785
1.0,0.0,125,0.0047543560447680005,0.003292074575649258,2.8990934090415053,0.5625632107739615,5.321428571428571,0.593749789558798
1.0,0.0,126,0.0021390443787535677,0.0016396732038455508,1.633920299519616,0.5343757146840503,5.857142857142857,0.5497137242757492
1.0,0.0,127,0.002776146548921767,0.00245519577966531,3.365978740377642,0.567008186836623,5.75,0.5861277028954813
1.0,0.0,128,0.00869534848147759,0.008220311641117976,0.1833212928219936,0.5590122178952088,5.571428571428571,0.5576307442049329
1.0,0.0,129,0.005361468431651198,0.005005747807534234,3.068122200788082,0.5833811418938405,5.321428571428571,0.6218330651663861
1.0,0.0,130,0.002379868895163208,0.00025244550095988107,1.6450602922245068,0.5646598267284213,5.357142857142857,0.5958447592271265
