leak,strength,rep,phase_fst,spatial_fst,be_phase,parkin_fst,be_parkin,hs,rich,ht
0.03,0.0,64,0.004654718315720428,0.0021922932434172045,3.396692603772287,0.0021922932434172045,3.0371869838344736,0.5636456660082321,5.535714285714286,0.5585427017618209
0.03,0.0,65,0.00971064485063774,0.0049627486751737905,4.85257545351071,0.0049627486751737905,3.664055366482188,0.5069112018406048,5.25,0.5039255308893082
0.03,0.0,66,0.015711566499306936,0.009304061835915506,9.065003909605707,0.009304061835915506,7.923287510910491,0.5889985479571835,5.357142857142857,0.6130104144323856
0.03,0.0,67,0.0033313811291956976,0.0023083529521391436,5.366356477433257,0.0023083529521391436,3.187631711869514,0.5714795804329492,5.892857142857143,0.5792576347037057
0.03,0.0,68,0.03917787587321397,0.021833275485392507,16.625659093791576,0.021833275485392507,13.977322650651672,0.575748681131388,5.642857142857143,0.6232511628889662
0.03,0.0,69,0.03810157106258493,0.02092757858072561,17.58120611961752,0.02092757858072561,11.65854370502224,0.5794466767138713,5.964285714285714,0.5946555108894793
0.03,0.0,70,0.024430453476647306,0.018301788592577396,14.258030272439555,0.018301788592577396,17.889893857018542,0.5730568702998431,5.892857142857143,0.6213135070559204
0.03,0.0,71,0.0062238743129103226,0.0027701387175981455,-1.8944580864753888,0.0027701387175981455,-3.1580722385537427,0.5746482062914018,5.928571428571429,0.5903527461506253
0.03,0.0,72,0.0053965881321882654,0.004208091592733457,3.172646573488386,0.004208091592733457,0.31646572429561814,0.5639586014544558,5.464285714285714,0.5772193945770009
0.03,0.0,73,0.017898256724990978,0.0018030512319296879,11.768487617028292,0.0018030512319296879,3.248335863218813,0.570989586874379,6.107142857142857,0.5720300798738368
0.03,0.0,74,0.010190130200598672,0.010301769831214991,1.0897056007045975,0.010301769831214991,5.8748931183764626,0.5732168402375377,4.785714285714286,0.599245886357622
0.03,0.0,75,0.004970277197421855,0.0011060897836472619,8.517704206543904,0.0011060897836472619,4.259236422044275,0.5519421413389655,5.392857142857143,0.5682242820130927
0.03,0.0,76,0.007577547571654911,0.00444978810639355,5.90875986702099,0.00444978810639355,2.913072517471633,0.5194793070762161,4.964285714285714,0.5251945726465309
0.03,0.0,77,0.011758427844970479,0.007761297247658298,7.310059706483898,0.007761297247658298,7.363440968426751,0.6062114994382394,6.75,0.6362585426932121
0.03,0.0,78,0.01921665865061892,0.015233009541984381,10.600479931664552,0.015233009541984381,6.042172381620347,0.5271980919055793,5.357142857142857,0.5645833317512261
0.03,0.0,79,0.02755509406982323,0.01657803358427364,10.945906626876543,0.01657803358427364,13.795267803213392,0.5876169637644529,5.821428571428571,0.6248639314534937
0.03,0.0,80,0.008413035748044877,0.001753879898543994,2.4791918438320764,0.001753879898543994,1.4432008106307563,0.5588704375179382,5.464285714285714,0.5574504569169785
0.03,0.0,81,0.04908900659660982,0.04414030341054749,11.284976602980826,0.04414030341054749,13.557632620446142,0.5620834302110821,6.178571428571429,0.5996432647265805
0.03,0.0,82,0.005353734791459277,0.003922777344493368,5.4244076734881475,0.003922777344493368,9.74039157191838,0.597385568789007,5.678571428571429,0.6021723562063408
0.03,0.0,83,0.011895469567989191,0.007815454448562168,7.896009689963897,0.007815454448562168,8.160324808735098,0.6240594798769851,5.25,0.6410550354959206
0.03,0.0,84,0.009558350437443651,0.002604588317332308,1.991631395595526,0.002604588317332308,0.22209416610834865,0.5687977292807181,5.678571428571429,0.592005577439317
0.03,0.0,85,0.03195679477849907,0.016375456622312136,15.316992995849155,0.016375456622312136,12.489199523465714,0.5743321732414838,5.75,0.5986231388202914
0.03,0.0,86,0.02619356528526158,0.01183298541812148,14.92038088649273,0.01183298541812148,8.566630507834525,0.59682345982311,5.357142857142857,0.6247222685343045
0.03,0.0,87,0.0037365613019525157,0.005252393295947092,-7.599091225340608,0.005252393295947092,-3.141288127814491,0.5377435318325955,5.321428571428571,0.5420837518038096
0.03,0.0,88,0.008320752870010835,0.002758838577101636,5.992149090000318,0.002758838577101636,3.0319195926237086,0.5485193783150994,6.464285714285714,0.5613134570655263
0.03,0.0,89,0.00828665265152338,0.00685770782327574,1.9913652954249486,0.00685770782327574,3.8392438326941374,0.5891456800894062,5.571428571428571,0.5989002384908924
0.03,0.0,90,0.002850787270925498,0.0015800954682521132,3.4519002660150733,0.0015800954682521132,4.97700747065327,0.5810358616330998,6.428571428571429,0.597352568081221
0.03,0.0,91,0.016021364678650573,0.010383353754123973,8.370012621672615,0.010383353754123973,3.56295453461221,0.6056291555929952,5.321428571428571,0.6197019656197755
0.03,0.0,92,0.008305390516843224,0.005346062439957847,4.087038051369426,0.005346062439957847,3.216030906154323,0.599096183981807,5.5,0.6257500489053409
0.03,0.0,93,0.006693673636355776,0.0018236016923090246,3.1100922353577687,0.0018236016923090246,3.0252597848827705,0.5394040263441899,5.035714285714286,0.5354437400084907
0.03,0.0,94,0.012181264682033857,0.005945321035961225,7.376726260695683,0.005945321035961225,0.9100099788515479,0.5934466769482363,5.928571428571429,0.6147416109442672
0.03,0.0,95,0.008350810660246243,0.005269967517351089,11.127738842054846,0.005269967517351089,7.054888394944321,0.6227273630720916,6.214285714285714,0.6290070488014523
0.03,0.0,96,0.00998066063568097,0.00516268112887496,2.1972746082258183,0.00516268112887496,1.8167241675647858,0.5608945426371778,5.642857142857143,0.5679974342556037
0.03,0.0,97,0.0030281368645588146,0.0024290811393527945,5.946230687108567,0.0024290811393527945,-0.728046007344048,0.5755267688175937,5.107142857142857,0.6087476319502609
0.03,0.0,98,0.016737070130159484,0.011841710520571343,8.573867160907213,0.011841710520571343,6.737960409514649,0.5765627352405807,5.107142857142857,0.5819197790871182
0.03,0.0,99,0.016260420876553286,0.007200357918117471,11.649171789457846,0.007200357918117471,9.423070824310834,0.5804499799531212,5.892857142857143,0.5818447834377661
0.03,0.0,100,0.012516505668094471,0.0032909763604107305,0.8949056451795698,0.0032909763604107305,-0.34034903166244845,0.5803592339227179,5.785714285714286,0.5772351058436704
0.03,0.0,101,0.009327944258632516,0.0007646948296308518,-2.5361720583814886,0.0007646948296308518,-6.719561370204346,0.5259007937863502,5.178571428571429,0.5367229911721039
0.03,0.0,102,0.02769380289292421,0.016499372607741824,11.317538811644333,0.016499372607741824,13.459890826305084,0.5697204914223037,6.071428571428571,0.5648202379380811
0.03,0.0,103,0.005840640551454518,0.003507490667663251,-0.20595089306081604,0.003507490667663251,-3.253620132159213,0.5902748065815079,5.75,0.6043201929794165
0.03,0.0,104,0.018453688689487647,0.011052526811836189,9.793491429780104,0.011052526811836189,5.481497597429183,0.6102187267462398,6.892857142857143,0.6219435368961119
0.03,0.0,105,0.0053491366827222156,0.00275227861767334,4.631199876770772,0.00275227861767334,7.272574944758006,0.5985165217048902,5.642857142857143,0.6177401896731101
0.03,0.0,106,0.0160520898815965,0.010157837889493251,11.659179807439074,0.010157837889493251,3.714358210494332,0.6086095916858555,5.642857142857143,0.6264665309459322
0.03,0.0,107,0.005432453407188372,0.0017172215209002146,-0.9830668815263905,0.0017172215209002146,-6.863828912706921,0.5921978477168406,5.892857142857143,0.6195302581720703
0.03,0.0,108,0.020912689626679224,0.01633703103787037,8.819971092978179,0.01633703103787037,6.71579434909998,0.5580319785419985,5.0,0.5581690512277366
0.03,0.0,109,0.005503833512496343,0.003650413119548929,7.158399355803006,0.003650413119548929,9.80335065298489,0.5386924861247412,5.928571428571429,0.5314172501490295
0.03,0.0,110,0.01896987524646572,0.010602958605218024,8.561494351412769,0.010602958605218024,9.415799352244399,0.5391029749217283,6.107142857142857,0.5708006682277316
0.03,0.0,111,0.009081944663397255,0.009515306929973514,6.743603064704359,0.009515306929973514,6.988128198640844,0.49809759535135356,4.857142857142857,0.49112170352014006
0.03,0.0,112,0.0025496827055395055,0.0013884876837402932,-0.31221168563454427,0.0013884876837402932,-5.152533600271191,0.5160063756552806,4.964285714285714,0.5189262499915699
0.03,0.0,113,0.013013728104606668,0.005687563939440111,5.469938466987294,0.005687563939440111,-3.534362771973605,0.5473795177197208,4.892857142857143,0.5494903366179622
0.03,0.0,114,0.002316636588508568,0.002688823842449823,0.962937210581778,0.002688823842449823,3.8085163239611006,0.6014799217666554,5.464285714285714,0.6002063356024832
0.03,0.0,115,0.01721044834303835,0.011573435315224867,8.053917768810166,0.011573435315224867,10.736225476987038,0.5097385692594402,5.821428571428571,0.5154224061803898
0.03,0.0,116,0.01422343011877412,0.008809543545725747,0.8438523831093931,0.008809543545725747,-1.5371652987014954,0.5722953456639822,5.535714285714286,0.5878485492835452
0.03,0.0,117,0.0022766262409849307,0.00024355725398933503,0.9136606738465147,0.00024355725398933503,-1.658302077266832,0.5445570141162588,5.607142857142857,0.5466509023585462
0.03,0.0,118,0.002660271480563382,0.0015051612518938546,-2.1818370927935575,0.0015051612518938546,2.938811637634629,0.5622995867381274,5.642857142857143,0.5706478404519462
0.03,0.0,119,0.006626355577742909,0.002832891832924286,5.331655870980853,0.002832891832924286,2.552326931224478,0.5948486586858645,6.357142857142857,0.6139504249487755
0.03,0.0,120,0.010481612004998876,0.001878088052462639,9.039165615579854,0.001878088052462639,6.720147058189255,0.5778781438753529,5.607142857142857,0.5992794714532748
0.03,0.0,121,0.008324127969759619,0.0039407643202854226,4.4433653519008445,0.0039407643202854226,-1.2723711006605356,0.5979123544353089,5.071428571428571,0.6059479988958459
0.03,0.0,122,0.016793867195992466,0.006672601593721465,7.027916028193928,0.006672601593721465,-1.0808837086463257,0.6147677058078264,5.821428571428571,0.6516738400786477
0.03,0.0,123,0.017895781495241826,0.012198162858115695,10.023940781625328,0.012198162858115695,9.064453402105478,0.48274037175504037,5.285714285714286,0.48947282519418867
0.03,0.0,124,0.03538124516666881,0.02817994841219538,14.618763428763835,0.02817994841219538,13.714544593110013,0.5673527752371869,5.178571428571429,0.5981625231059097
0.03,0.0,125,0.012046851302040893,0.009898142858674788,10.648811207154388,0.009898142858674788,17.949417041022777,0.5783266768284889,5.107142857142857,0.6198104457804865
0.03,0.0,126,0.0065055886251212175,0.0027526227366863817,4.5705759957013115,0.0027526227366863817,-4.1457236261855,0.5373820101877356,5.25,0.5625631062715157
0.03,0.0,127,0.004757948640514824,0.00249063250547938,-0.6352766699365446,0.00249063250547938,-2.59443126750962,0.586274593158329,5.071428571428571,0.5839479809013159
0.03,0.0,128,0.0165628747770435,0.0027816236649785505,10.612005185460731,0.0027816236649785505,4.1978814844840215,0.5765636823637047,6.071428571428571,0.6022816410414013
0.03,0.0,129,0.014505064753155552,0.004698108222534566,3.062319354036376,0.004698108222534566,2.0324053515947895,0.5778194512059275,5.535714285714286,0.6132059905329762
0.03,0.0,130,0.010855493575603257,0.0052954840218866275,4.321847468111905,0.0052954840218866275,4.630133118382126,0.5991392835628547,5.821428571428571,0.613868690151748
0.03,0.0,131,0.0016877902627695117,0.0008912591681147427,-1.2100178786165543,0.0008912591681147427,-3.2160282842214443,0.5933781517664379,5.607142857142857,0.5994720099081967
0.03,0.0,132,0.0017084045681956522,0.000445232822739325,-2.4556835974897595,0.000445232822739325,-1.7025942414846682,0.5948223634708315,6.214285714285714,0.613344756624508
0.03,0.0,133,0.005337986312400755,0.004227537540349168,2.6246275230492557,0.004227537540349168,6.0721014659739225,0.5805604551431893,5.464285714285714,0.5892706301441544
0.03,0.0,134,0.02521261725481589,0.01698183648704379,11.590311702956434,0.01698183648704379,2.141796369384295,0.5577280689453262,5.571428571428571,0.5913245010700936
0.03,0.0,135,0.006167478140719874,0.002581999668198637,0.8335966378754165,0.002581999668198637,-0.8591642977431135,0.5754837278896291,5.571428571428571,0.5751436264503318
0.03,0.0,136,0.010035368755153994,0.0073381403073546955,3.7345675303515335,0.0073381403073546955,3.1861678674879244,0.5686593083641355,5.928571428571429,0.5613939747926003
0.03,0.0,137,0.0071802160126765045,0.00440291035803916,5.0863029532215975,0.00440291035803916,2.383869905407913,0.5554369053285071,5.464285714285714,0.5753143179966711
0.03,0.0,138,0.006236392528689604,0.004010774137118659,1.3163686968571469,0.004010774137118659,4.689539177414076,0.5176176578290633,5.071428571428571,0.5178338743871456
0.03,0.0,139,0.005763910989245592,0.0015263641254087163,0.16607222342651085,0.0015263641254087163,-3.5397263055207517,0.5859174165644964,5.571428571428571,0.6075368283984826
0.03,0.0,140,0.01331433757275964,0.008181450458679126,12.220778205563597,0.008181450458679126,8.189364338701779,0.6542587441836494,6.535714285714286,0.6768658402818681
0.03,0.0,141,0.010942220495154881,0.006563017315872375,5.107211570861203,0.006563017315872375,5.875302714317392,0.5950524893825776,5.321428571428571,0.6084897438797487
0.03,0.0,142,0.009765205474979964,0.006446896816572648,9.141330025309642,0.006446896816572648,3.9059704506610657,0.525696052190763,5.071428571428571,0.5114566189421519
0.03,0.0,143,0.009358932542166515,0.009952141702680788,11.537935668358791,0.009952141702680788,10.740116589827387,0.5505871626495545,5.821428571428571,0.5835997279013805
0.03,0.0,144,0.01233146768160743,0.003721001975003456,-0.9205748223514618,0.003721001975003456,5.00591103947189,0.5533530365631453,5.607142857142857,0.5347088409837304
0.03,0.0,145,0.017071209042471187,0.004493190166397287,12.050068852587692,0.004493190166397287,2.2965243668691997,0.5756148871704456,5.607142857142857,0.5883919559300378
0.03,0.0,146,0.016905940530621114,0.004418302334183177,10.31474010930873,0.004418302334183177,11.98379651972374,0.5867785959997641,5.75,0.585245840159256
0.03,0.0,147,0.010849249482656658,0.005431379859268334,6.905407479546021,0.005431379859268334,5.700170088019583,0.5740502265484352,5.071428571428571,0.5924186771333744
0.03,0.0,148,0.004607776451391004,0.004229015247066173,3.7371874836116206,0.004229015247066173,3.0534445712096243,0.578466186112036,5.892857142857143,0.5908278962954407
0.03,0.0,149,0.016265016199283593,0.011259793821385785,8.239313017290883,0.011259793821385785,2.8750888648780233,0.5970519404360316,5.928571428571429,0.6038991873598776
0.03,0.0,150,0.015454983480811578,0.016511331802071632,7.070112432914719,0.016511331802071632,9.508329247464125,0.5741079030245454,5.928571428571429,0.587636286248637
0.03,0.0,151,0.005441909801261403,0.0019336810060152348,3.193935441178354,0.0019336810060152348,4.640013408332813,0.6074236266283312,6.5,0.619092967955388
0.03,0.0,152,0.005879844931730329,0.002514571677397806,-1.1100524781798597,0.002514571677397806,-2.2326104994344433,0.6159774942879898,7.0,0.6066960945799343
0.03,0.0,153,0.0043583212468138455,0.0032809363503687817,4.578439131342371,0.0032809363503687817,5.701526002392654,0.6108178617223292,6.464285714285714,0.6151974690215589
0.03,0.0,154,0.007052331129440855,0.00511077696009761,12.158023161203431,0.00511077696009761,8.365727605778368,0.5275728352319476,5.785714285714286,0.5718697283928856
0.03,0.0,155,0.03004853450927219,0.021394386381814214,7.317437188015937,0.021394386381814214,7.005206213503463,0.55223628745807,5.678571428571429,0.5660591246246489
0.03,0.0,156,0.009007827265614752,0.007644791018878628,8.4323782368201,0.007644791018878628,10.44019819713629,0.5739323372396541,6.357142857142857,0.587293354157836
0.03,0.0,157,0.012132697978417838,0.005525777559667696,7.802096625134311,0.005525777559667696,4.70509376391324,0.6044996595551896,6.107142857142857,0.6158999195531849
0.03,0.0,158,0.002958244685002305,0.00121710114372669,5.388751160362759,0.00121710114372669,-1.555142075057276,0.5977803362321253,5.142857142857143,0.6073067116514498
0.03,0.0,159,0.009250900109303593,0.0034240351262979913,9.855910705261834,0.0034240351262979913,6.598036755275878,0.6134432313206309,5.678571428571429,0.6208485863337698
0.03,0.0,160,0.010303023633837508,0.005237200892156703,6.066950161793933,0.005237200892156703,5.286890623930873,0.5762952076309047,5.25,0.5910238546163471
0.03,0.0,161,0.02910518917270243,0.02167132685596748,13.00327549099918,0.02167132685596748,14.552358824758393,0.5790773227835404,6.0,0.6121667334940332
0.03,0.0,162,0.01426837605006524,0.0002464087234231338,8.34330761578731,0.0002464087234231338,0.1390402725708384,0.5236349373315183,5.785714285714286,0.5270390069562136
0.03,0.0,163,0.0058782546375818825,0.0037237053701026667,1.617704555582094,0.0037237053701026667,1.0995921409290474,0.529167717230713,5.714285714285714,0.5452752813831785
0.03,0.0,164,0.0009032471812524481,0.0003794417394763463,2.3510041646019246,0.0003794417394763463,2.765713746503657,0.5400874192441097,5.535714285714286,0.5511528038819864
0.03,0.0,165,0.0059244306782553205,0.0010519743654769044,3.905542850222716,0.0010519743654769044,-1.6823462211880056,0.5632830815536876,5.142857142857143,0.5862149597702304
0.03,0.0,166,0.003743487027671269,0.0029707975806381377,3.119800607074744,0.0029707975806381377,3.5586810751447544,0.5992586985202838,5.142857142857143,0.6172606439946617
0.03,0.0,167,0.012738646118239796,0.005012778100927458,0.4595652250949769,0.005012778100927458,2.4564325419467252,0.5483880688938704,5.428571428571429,0.5708042892623033
0.03,0.0,168,0.010320250247935835,0.010246199204337591,1.3247966345828246,0.010246199204337591,6.013192793676829,0.5607758802170212,5.321428571428571,0.5896949651038133
0.03,0.0,169,0.010364725447608822,0.004222989003253633,-4.606408782416864,0.004222989003253633,-6.7079668350066015,0.586017799460149,5.678571428571429,0.5983323898610409
0.03,0.0,170,0.009070521361912416,0.003621203964740849,5.733182414746295,0.003621203964740849,-0.5768136923440039,0.6053396025327907,5.321428571428571,0.6399607789652051
0.03,0.0,171,0.005473273203069148,0.0033327985958433374,4.166324984551103,0.0033327985958433374,2.7461501326278395,0.5729901394553266,5.285714285714286,0.5860514600008878
0.03,0.0,172,0.005161074763668299,0.004791946660288022,-2.3024606294594605,0.004791946660288022,-2.1225675677966507,0.6064088652015925,5.642857142857143,0.6182809610111089
0.03,0.0,173,0.0114783541728484,0.009604141758387783,6.983035625533972,0.009604141758387783,8.886008176107033,0.6178623627252168,6.035714285714286,0.6191936125996231
0.03,0.0,174,0.0030968169688633737,0.001088307025672966,1.9570276078629405,0.001088307025672966,-0.6469848857644465,0.5479955253605499,5.535714285714286,0.557430983797726
0.03,0.0,175,0.00581355864274034,0.0027273022741135617,5.089578234040111,0.0027273022741135617,5.142439548412348,0.6109207467483512,5.75,0.6372179257445605
0.03,0.0,176,0.03205831914258365,0.03138277222366581,18.060026766844167,0.03138277222366581,20.6040063757641,0.5668150748375441,6.285714285714286,0.5821346673720911
0.03,0.0,177,0.005992023486253696,0.0040337005012279995,3.510901795623724,0.0040337005012279995,2.259074949442301,0.5806413126253507,5.928571428571429,0.5882110651363216
0.03,0.0,178,0.00456747711170343,0.00346608265278694,5.585603785310205,0.00346608265278694,6.1302810009386235,0.5955633593431573,5.964285714285714,0.6187496335274125
0.03,0.0,179,0.02963314590525076,0.011574515704454605,9.935343866656304,0.011574515704454605,9.725210453515473,0.5248283891840613,5.535714285714286,0.5410653559473715
0.03,0.0,180,0.0046772558677660924,0.00011804193694009398,1.0426942691018652,0.00011804193694009398,0.41466234726178897,0.5935487195382316,5.607142857142857,0.6341641664722163
