seed,nc,prec,rec,fst_bo,jk0,jk1,jk2,jk3,jk4,jk5,jk6,jk7
105,2.0,0.18604651162790697,1.0,0.0056960442588621036,0.005777387200054482,0.005759069773135462,0.004991308447958825,0.0032090441002555724,0.006023926376380704,0.005669623179778684,0.005552331386919378,0.005334389143476549
106,2.0,0.21052631578947367,1.0,0.006274475928863222,0.005571758020147411,0.006182333647922204,0.00558927243001062,0.005275696929791045,0.006306060715422648,0.006324502528970176,0.00627813195666855,0.005905590576889026
107,2.0,0.1891891891891892,0.875,0.0070210377536323275,0.006960248685024131,0.006947423227141693,0.005855929074025968,0.004178652393339556,0.006174124760596705,0.007160431814557421,0.0073329030719285595,0.007473866381482922
108,2.0,0.18181818181818182,1.0,0.004403624838814738,0.0045572360599760945,0.004441458611243265,0.0037158539452713138,0.0034223246537870245,0.004679707203473545,0.0043986827105510235,0.005024251646546695,0.004200369290797898
109,2.0,0.21052631578947367,1.0,0.007342029904350145,0.006434204877121,0.007384945101560854,0.0031530972682828847,0.009141813270937499,0.007898456775404916,0.007362695068962509,0.005831461344390178,0.006328035846555167
110,3.0,0.0625,0.25,0.0031831661835741727,0.0028686016053121933,0.0033059018908574407,0.003288384849230211,0.0032715129781914387,0.0034548189513876823,0.0031510640359214384,0.0030442509969614982,0.0030871573596210925
111,2.0,0.1891891891891892,0.875,0.00426593662375188,0.003240304560242486,0.004377243241956693,0.0030972335088030184,0.0028025064733229227,0.004333412189202267,0.004322758600255176,0.004924579414772352,0.004206807312340283
112,2.0,0.1891891891891892,0.875,0.0022651112787195928,0.002199697244929448,0.0023116821612819516,0.0020804286096531345,0.0018644569701092828,0.002932589732149635,0.002304998159911703,0.0021495107042405343,0.0024166110537439194
113,2.0,0.18604651162790697,1.0,0.0056176660813329156,0.005025899332201683,0.005758715597879572,0.0046814095292096675,0.0034925496376373567,0.0061343853076869315,0.00565415704657508,0.005234708820691445,0.0053104765310349735
114,2.0,0.19047619047619047,1.0,0.0037090404211500595,0.0035708286827984513,0.0037566027561079197,0.0024579887776182657,0.003465238370496481,0.003658299261907501,0.0037393072046785257,0.0030345626743833224,0.0035681892798763303
115,2.0,0.20512820512820512,1.0,0.005839107447085629,0.0066262204370429395,0.005931026457663953,0.00472401475768599,0.0026154918282256367,0.006664112141988228,0.0059079870418718905,0.006830301232127928,0.006366826289905146
