region,model,n_ind,innovation,mixing,loss,matched,fst_median,sim_hs,sim_rich,sim_ht,obs_hs,obs_rich,obs_ht,selected
basin,pooled,120,0.004,0.1,0.105099997714899,False,0.006721008736541903,0.47580632177964927,4.137931034482758,0.4658866380574204,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,120,0.004,0.2,0.05760208046679096,False,0.0030803431188164876,0.4870452256590718,4.511494252873564,0.5336793453596324,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,120,0.004,0.4,0.06039529585994806,False,0.001803761280161483,0.4623441576533664,4.75287356321839,0.46032533305060336,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,120,0.008,0.001,0.17882307064185432,False,0.018648097274808796,0.40712430214424744,3.718390804597701,0.49975309258697376,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,120,0.008,0.002,0.1588985651271996,False,0.013188574559405752,0.4131628474788136,3.844827586206897,0.49925295607480447,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,120,0.008,0.005,0.11599952379562772,False,0.012908084426926212,0.44315140847548923,4.045977011494252,0.5111139384283708,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,120,0.008,0.01,0.10902323758370662,False,0.007055755026095959,0.4649453236122369,4.07471264367816,0.4824779725233291,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,120,0.008,0.02,0.08794464279429157,False,0.0036008875171244215,0.48596386165404576,4.172413793103448,0.5136502807194564,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,120,0.008,0.05,0.037847075816282785,False,0.004162812222752725,0.48660203610703245,4.833333333333333,0.49253356416909483,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,120,0.008,0.1,0.025241607760199097,False,0.003167353081104939,0.49797937005112664,5.011494252873564,0.4980578842342196,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,120,0.008,0.2,0.016925699210660967,False,0.0011395803455876224,0.5037507802486402,5.195402298850575,0.49558534189733877,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,120,0.008,0.4,0.008334571105874534,True,0.0032817241016365887,0.5082678327283052,5.402298850574713,0.5036451561182195,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,120,0.012,0.001,0.12405271847940001,False,0.02074660559304169,0.4397070338603162,3.9885057471264376,0.5107487041672029,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,120,0.012,0.002,0.1006894746271554,False,0.008861534055047799,0.45293311035713835,4.155172413793103,0.5052756556782048,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,120,0.012,0.005,0.08863674804821366,False,0.008154607176788476,0.4563939841871873,4.25287356321839,0.5241899191004064,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,120,0.012,0.01,0.06639199124974171,False,0.006736413025359345,0.4929645292600644,4.390804597701149,0.5170191422194564,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,120,0.012,0.02,0.03676703894072886,False,0.0069769285227619,0.4888104776924329,4.793103448275862,0.5179962787617823,0.5096609240503605,5.896551724137931,0.5224925592027359,False
